AS35540,OVH Telecom (OVH SAS)
AS35575,Vaioni Group Ltd
AS35612,EOLO S.p.A.
AS35625,Eurofiber France SAS
AS35790,Aktiebolaget Sappa
AS35860,Imagine Networks
AS36527,Rincon Wireless
AS36728,Emery Telcom
AS36827,PINE BELT TELEPHONE CO
AS36890,MTN Rwandacell
AS36916,X-DSL Networking Solutions
AS37054,Telecom Malagasy
AS37349,Aptus Solutions Ltd
AS37358,BitCo
AS37482,Broadband Innovations
AS37497,Network Platforms (PTY) LTD
AS37680,Cool Ideas Service Provider (Pty) Ltd
AS38143,PT Rabik Bangun Pertiwi
AS38146,PT Digital Wireless Indonesia
AS38150,PT Time Excelindo
AS38156,PT Union Routelink Communication
AS38165,PT Ambhara Duta Shanti
AS38264,Wateen Telecom
AS38496,PT Cyber Network Indonesia
AS38500,PT Cross Network Indonesia
AS38511,PT Remala Abadi Tbk
AS38515,PT Grahamedia Informasi
AS38517,PT Bangsawan Cyberindo
AS38524,PT Laxo Global Akses
AS38527,PT Jawa Pos National Network Medialink
AS38565,Ncell Pvt. Ltd.
AS38750,PT Telemedia Dinamika Sarana
AS38753,PT Solusindo Bintang Pratama
AS38754,PT Primedia Armoekadata Internet
AS38758,PT Hipernet Indodata
AS38769,PT Bit Technology Nusantara
AS38781,PT Mitra Abdi Solusi
AS38783,PT Simaya Jejaring Mandiri
AS38785,PT Borneo Broadband Technology
AS38851,"""TWT Digital Communication Inc.","
AS38896,PT Centra Global Investama
AS39120,Convergenze S.p.A.
AS39122,Blacknight Internet Solutions Limited
AS39194,Vakka-Suomen Puhelin Oy
AS39216,AL-SARD FIBER Co.
AS39326,Syntura Group Limited
AS39602,The Cent.re Group Limited
AS39637,ADES BV
AS39686,Eurofiber Nederland BV
AS39699,Lounea Palvelut Oy
AS39878,Peter Rauter GmbH
AS40389,"""Blueriver Networking Services", Inc."
AS40545,Empire Access
AS40749,CLARKSVILLE DEPARTMENT OF ELECTRICITY
AS41110,DSLmobil GmbH
AS41114,ORNE THD SPL
AS41720,Revolution Provider S.r.l.
AS41960,Nextpertise B.V.
AS42184,TKRZ Stadtwerke GmbH
AS42343,Karjaan Puhelin Oy
AS42423,Bitway Telecom SRL
AS42517,Schiphol Telematics B.V.
AS42525,GlobalConnect A/S
AS42611,Full Fibre Limited
AS42621,LPOnet Osk Anl
AS42652,inexio Informationstechnologie und Telekommunikation Gmbh
AS42689,Glide Student & Residential Limited
AS42739,Hawe Telekom S.A. in Restructuring
AS42885,Paraisten Puhelin Oy
AS42905,LIMANET Ltd.
AS42965,net services Beteiligungsgesellschaft mbH trading as ...
AS43016,Keski-Suomen Valokuituverkot Oy
AS43709,SilesNet s.r.o.
AS43733,Viva Armenia CJSC
AS44002,Sys-DataCom s.r.o.
AS44180,ETN Internet GmbH & Co. KG
AS44483,Elektrons K SIA
AS44506,LP Vahvavirta Osk
