AS208366,Stefan Pattberg trading as DENIC Services GmbH & Co. KG
AS208951,ITGLOBAL.COM NL B.V.
AS209242,Cloudflare BYOIP Customers
AS209617,University of Cyprus
AS210788,Magyarorszagi Internet Szolgaltatok Tanacsa Tudomanyo...
AS211466,Ministry of Telecommunication & Digital Economy
AS211655,NAUKOWA I AKADEMICKA SIEC KOMPUTEROWA - PANSTWOWY INS...
AS262178,Pontificia Universidad Catolica Madre y Maestra (PUCMM)
AS263779,NIC COSTA RICA
AS263799,CARIBBEAN COMMUNICATION SERVICES
AS264798,NIC ARGENTINA
AS265731,NIC ARGENTINA
AS267797,EMPRESA NACIONAL DE TRANSMISIÓN ELÉCTRICA (ENATREL)
AS267892,COMISION NACIONAL DE TELECOMUNICACIONES CONATEL (NICVE)
AS328014,Rwanda Internet Exchange Point (RINEX) c/o RICTA
AS328098,JENY SAS
AS328381,Sudanese Internet Association
AS328919,Open Connect Limited
AS329666,Cote d'Ivoire Internet Exchange Point
AS393249,University of British Columbia
AS393818,Tucows.com Co.
AS394353,USC/ISI - B-root
AS394354,Canadian Internet Registration Authority
AS395400,UNIVERSITY OF GUAM
AS396501,CIRA Canadian Internet Registration Authority Autorit...
AS396549,Verisign Anycast GB 0A
AS396566,Verisign Anycast NL 0L
AS396686,Verisign Anycast RU 0B
AS396982,Google Cloud Platform
AS397197,Verisign Anycast DE 0E
AS398101,"""GoDaddy.com", LLC"
AS398987,PhirePhly Design
AS399159,"""Vercara", LLC"
AS399161,"""Vercara", LLC"
