AS200609,CHDE Polska Spolka Akcyjna
AS200696,Ålands Penningautomatförening
AS200846,d.velop AG
AS201012,KEH eCommerce LLC
AS201110,Andritz AG
AS201126,CDW Ltd
AS201154,IKEA IT AB
AS201271,Nordea Bank Abp
AS201273,cubequadrat OU
AS201286,Red Hat Ltd
AS201315,SIA BFA
AS201321,ITQS IKE
AS201574,LATVIJAS LOTO VAS
AS201611,SmartLynx Airlines
AS201673,"""""Verifone Baltic"""" SIA"
AS201991,Metsäliitto Osuuskunta
AS202003,Avast Software Romania S.R.L.
AS202032,GOLINE SA
AS202049,Encrypted Email Finland Ltd
AS202172,Migadu-Mail Gmbh
AS202191,Katoen Natie
AS202494,Turkiye Petrol Rafinerileri Anonim Sirketi TUPRAS
AS202526,HENSOLDT Optronics GmbH
AS202555,SIA Tamro
AS202589,TestDevLab-SIA
AS202617,Kering Eyewear S.p.A.
AS202756,Radio Free Europe/Radio Liberty
AS202863,OPTIBET LTD
AS203176,Reiknistofa bankanna hf.
AS203372,GSA Capital Services Ltd
AS203491,"""Estoril Sol Digital", Online Gaming Products And Servi..."
AS203511,OZBAY BILISIM INTERNET HIZMETLERI LIMITED SIRKETI
AS203898,Cloudflare London Office
AS203968,aiticon GmbH
AS204130,"""DLV", sia"
AS204355,Telicity Communications SAS
AS204411,Bigbank AS
AS204445,DB Systel GmbH (Public WiFi)
AS204702,Deutsche Windtechnik GmbH & Co. KG
AS204706,JSC Kolesa
AS204748,INDUSTRIA DE DISENO TEXTIL SOCIEDAD ANONIMA
AS204857,BerryByte Limited
AS205037,Kisters AG
AS205080,SITA
AS205111,ZOHO Corporation B.V
AS205310,Beiersdorf Shared Services GmbH
AS205461,Pole emploi
AS205583,PC Yellow bv
AS205614,Medialine EuroTrade AG
AS205625,Winfinity
AS205627,Daimler Truck AG
AS205757,The Walt Disney Company Medya Eglence Ve Tic Ltd. Sti.
AS205821,SIA Arena Riga
AS206141,Duisburger Versorgungs- und Verkehrsgesellschaft mbH
AS206470,Menzel IT GmbH
AS206520,HUB logistics Finland Oy
AS206541,Kreiss
AS206662,Inventx AG
AS206713,France Televisions SA
AS206718,Radio Free Europe/Radio Liberty
AS206970,Avira Holding GmbH
AS207047,Raiffeisen Bank Kosovo JSC
AS207063,"""Kentik Technologies", Inc."
AS207112,"""REN - Rede Energeticas Nacionais", S.A."
AS207254,AS Postimees Grupp
AS207377,Evolution Latvia SIA
AS207595,Hestronic BV
AS207689,Teikums JT SIA
AS207804,DSS AB
AS207851,Fara AS
AS207994,Blockchain Creek B.V.
AS208177,Center-invest Bank
AS208272,VR-Group Ltd
AS208315,Frauscher Sensor Technology Group GmbH
AS208840,F&B Capital GmbH
AS208880,YAPI VE KREDI BANKASI A.S.
AS208938,Food Union
AS208987,Suomen Videoviestinta SVV Oy
AS209195,CAJA DE SEGUROS REUNIDOS COMPANIA DE SEGUROS Y REASEG...
AS209199,Cloud Unboxed Limited
AS209299,Ambientia Group Oy
AS209379,Pengutronix e.K.
AS209623,GASCADE Gastransport GmbH
AS209704,Belgium National Railway Company
AS209818,OMEGA LTD
AS209846,SWP Stadtwerke Pforzheim GmbH & Co. KG
AS209915,trivago N.V.
AS209994,LV Informatique SASU
AS210000,TwentyWAN MB
AS210035,Stiftung Mathias-Spital Rheine
AS210167,Valmet Automation Oy
AS210303,Hamburg Port Authority AoeR
AS210333,Inter Krankenversicherung AG
AS210668,SIA Spotrix
AS210886,Magnetiq Bank
AS211135,Mirka Oy
AS211169,CaramelFox Networks LLC
AS211424,"SIA """"LSK Studios"""""
AS211452,Kanton Appenzell Ausserrhoden
AS211527,"SIA """"Orkla Latvija"""""
AS211727,Horst Bode Import-Export GmbH
AS211793,"""""Ingo Armenia"""" Insurance CJSC"
AS211838,"SIA """"Aizdevums.lv"""""
AS211885,Prodimpekss Logistikas Grupa SIA
AS212038,ACTICO GmbH
AS212065,WDES SAS
AS212132,Evolution Latvia SIA
AS212223,Buy Way Personal Finance SA trading as BUY WAY SERVIC...
AS212664,Pori Energia Oy
AS212676,SIA Decta
AS212717,Tietoevry Banking Latvia SIA
AS212828,Tom Hatzer trading as twopeaks digital e.U.
AS213002,DH Bulut Bilisim Anonim Sirketi
AS213022,"SIA """"DPD Latvija"""""
AS213202,Cloudnet Computing Ltd
AS213427,Bjarn Bronsveld trading as Lettermint V.O.F.
AS213685,NarDatabank Bilisim ve Teknoloji Anonim Sirketi
AS214710,nLogic AS
